,CDF,CDF,CDF,OFS
,WSV,WDV,BAM10STD,PM10_STD
Date,,,,
01-Jan-2018 00:00,2.1,71,23,30
01-Jan-2018 01:00,1,118,31,39
01-Jan-2018 02:00,2,83,25,28
01-Jan-2018 03:00,2.2,85,16,19
01-Jan-2018 04:00,1.9,104,21,6
01-Jan-2018 05:00,2.3,86,15,13
01-Jan-2018 06:00,1.9,89,6,13
01-Jan-2018 07:00,2.2,90,29,9
01-Jan-2018 08:00,0.6,194,27,6
01-Jan-2018 09:00,3.6,151,5,7
01-Jan-2018 10:00,2.6,169,9,6
01-Jan-2018 11:00,2.7,279,20,6
01-Jan-2018 12:00,4.1,280,28,13
01-Jan-2018 13:00,4.4,290,45,14
01-Jan-2018 14:00,4.5,278,33,16
01-Jan-2018 15:00,3.9,280,33,18
01-Jan-2018 16:00,1.4,330,34,14
01-Jan-2018 17:00,0.3,142,29,15
01-Jan-2018 18:00,1.2,77,45,20
01-Jan-2018 19:00,1.9,82,40,12
01-Jan-2018 20:00,0.7,136,57,20
01-Jan-2018 21:00,1,71,53,25
01-Jan-2018 22:00,2.3,54,32,36
01-Jan-2018 23:00,1.3,100,35,37
02-Jan-2018 00:00,1.7,73,28,29
02-Jan-2018 01:00,1,63,33,24
02-Jan-2018 02:00,1.6,86,12,21
02-Jan-2018 03:00,1.7,95,17,21
02-Jan-2018 04:00,1.9,72,14,13
02-Jan-2018 05:00,1.7,80,27,6
02-Jan-2018 06:00,1.6,90,45,7
02-Jan-2018 07:00,1.6,83,59,10
02-Jan-2018 08:00,1.3,72,57,11
02-Jan-2018 09:00,1,162,42,16
02-Jan-2018 10:00,1.3,324,66,26
02-Jan-2018 11:00,4.5,282,65,23
02-Jan-2018 12:00,5.3,275,31,16
02-Jan-2018 13:00,4.1,275,24,18
02-Jan-2018 14:00,5.8,268,24,25
02-Jan-2018 15:00,4.3,293,21,17
02-Jan-2018 16:00,3.1,281,25,21
02-Jan-2018 17:00,0.3,27,173,25
02-Jan-2018 18:00,1.6,71,176,15
02-Jan-2018 19:00,2,78,66,25
02-Jan-2018 20:00,1.2,31,43,23
02-Jan-2018 21:00,2.1,82,38,30
02-Jan-2018 22:00,2.7,88,28,29
02-Jan-2018 23:00,3.1,93,34,30
03-Jan-2018 00:00,4,97,26,16
03-Jan-2018 01:00,2.5,82,20,10
03-Jan-2018 02:00,0.6,43,20,10
03-Jan-2018 03:00,0.3,57,17,10
03-Jan-2018 04:00,1.6,86,22,11
03-Jan-2018 05:00,1.2,76,34,8
03-Jan-2018 06:00,2.6,73,70,9
03-Jan-2018 07:00,2.2,128,97,25
03-Jan-2018 08:00,5,105,113,39
03-Jan-2018 09:00,1.5,66,70,31
03-Jan-2018 10:00,1.3,328,80,33
03-Jan-2018 11:00,1.4,330,82,33
03-Jan-2018 12:00,5.2,246,60,28
03-Jan-2018 13:00,3.9,292,29,18
03-Jan-2018 14:00,2.7,344,,19
03-Jan-2018 15:00,1.1,48,16,12
03-Jan-2018 16:00,2.7,128,26,18
03-Jan-2018 17:00,3.7,123,28,21
03-Jan-2018 18:00,0.5,343,37,27
03-Jan-2018 19:00,0.6,358,40,50
03-Jan-2018 20:00,0.4,26,45,36
03-Jan-2018 21:00,1.1,5,41,38
03-Jan-2018 22:00,4.3,135,30,26
03-Jan-2018 23:00,6.5,149,23,15
04-Jan-2018 00:00,3.6,111,11,14
04-Jan-2018 01:00,2.4,82,13,12
04-Jan-2018 02:00,1.3,98,14,12
04-Jan-2018 03:00,5.4,91,12,16
04-Jan-2018 04:00,5.4,95,9,11
04-Jan-2018 05:00,4.1,90,4,6
04-Jan-2018 06:00,3.3,92,6,5
04-Jan-2018 07:00,2.5,79,10,6
04-Jan-2018 08:00,1.8,100,7,8
04-Jan-2018 09:00,1.7,115,4,8
04-Jan-2018 10:00,2.3,112,5,11
04-Jan-2018 11:00,3,148,3,
04-Jan-2018 12:00,1.8,150,3,
04-Jan-2018 13:00,3.6,289,35,17
04-Jan-2018 14:00,3.8,297,19,28
04-Jan-2018 15:00,6.2,278,11,17
04-Jan-2018 16:00,3.2,314,11,10
04-Jan-2018 17:00,1.6,345,8,10
04-Jan-2018 18:00,1.4,331,7,9
04-Jan-2018 19:00,1.8,330,12,22
04-Jan-2018 20:00,3.6,312,20,33
04-Jan-2018 21:00,3.7,316,9,16
04-Jan-2018 22:00,1.7,339,7,1
04-Jan-2018 23:00,1.4,349,4,1
05-Jan-2018 00:00,0.7,67,3,0
05-Jan-2018 01:00,2.4,104,3,0
05-Jan-2018 02:00,2.5,128,4,4
05-Jan-2018 03:00,0.9,161,5,4
05-Jan-2018 04:00,0.6,299,4,1
05-Jan-2018 05:00,0.1,358,1,-2
05-Jan-2018 06:00,0.7,91,0,0
05-Jan-2018 07:00,0.4,110,2,1
05-Jan-2018 08:00,4.6,3,2,1
05-Jan-2018 09:00,3.7,30,2,0
05-Jan-2018 10:00,1.9,48,3,0
05-Jan-2018 11:00,2.4,181,6,7
05-Jan-2018 12:00,4.7,283,18,8
05-Jan-2018 13:00,8.2,287,3,18
05-Jan-2018 14:00,5.6,299,5,1
05-Jan-2018 15:00,2.8,299,7,1
05-Jan-2018 16:00,0.8,166,8,5
05-Jan-2018 17:00,2.7,220,12,9
05-Jan-2018 18:00,0.5,359,15,10
05-Jan-2018 19:00,2.8,205,11,8
05-Jan-2018 20:00,2.8,315,11,7
05-Jan-2018 21:00,1.8,99,7,6
05-Jan-2018 22:00,2.3,90,7,4
05-Jan-2018 23:00,3,143,8,0
06-Jan-2018 00:00,1.3,133,4,-1
06-Jan-2018 01:00,1.7,337,5,3
06-Jan-2018 02:00,0.9,80,5,11
06-Jan-2018 03:00,1.1,181,9,10
06-Jan-2018 04:00,1.4,264,12,4
06-Jan-2018 05:00,1.3,61,8,3
06-Jan-2018 06:00,1.1,94,7,3
06-Jan-2018 07:00,0.6,115,8,1
06-Jan-2018 08:00,1.4,159,23,2
06-Jan-2018 09:00,2.5,151,4,3
06-Jan-2018 10:00,4.3,255,9,5
06-Jan-2018 11:00,2.7,256,13,11
06-Jan-2018 12:00,1.8,233,17,10
06-Jan-2018 13:00,4.1,272,19,17
06-Jan-2018 14:00,4.7,281,18,6
06-Jan-2018 15:00,4.6,275,23,19
06-Jan-2018 16:00,4.3,317,31,20
06-Jan-2018 17:00,0.9,357,20,26
06-Jan-2018 18:00,1.7,112,23,32
06-Jan-2018 19:00,0.8,87,25,42
06-Jan-2018 20:00,1.8,78,25,39
06-Jan-2018 21:00,2.2,109,20,26
06-Jan-2018 22:00,1.6,87,15,15
06-Jan-2018 23:00,0.4,49,13,5
07-Jan-2018 00:00,0.6,85,19,11
07-Jan-2018 01:00,0.7,111,14,8
07-Jan-2018 02:00,1.1,136,9,6
07-Jan-2018 03:00,2.7,102,6,4
07-Jan-2018 04:00,2.3,89,10,4
07-Jan-2018 05:00,2.4,86,11,3
07-Jan-2018 06:00,2.3,121,9,4
07-Jan-2018 07:00,4,138,6,2
07-Jan-2018 08:00,1.6,88,3,1
07-Jan-2018 09:00,1.8,232,3,1
07-Jan-2018 10:00,1.5,231,7,0
07-Jan-2018 11:00,2.6,265,27,18
07-Jan-2018 12:00,3.8,250,27,15
07-Jan-2018 13:00,6,294,15,16
07-Jan-2018 14:00,4.7,302,17,10
07-Jan-2018 15:00,3.4,319,20,8
07-Jan-2018 16:00,4.2,311,22,19
07-Jan-2018 17:00,2.6,333,16,18
07-Jan-2018 18:00,1.5,83,26,17
07-Jan-2018 19:00,3.8,139,15,23
07-Jan-2018 20:00,1.9,118,18,16
07-Jan-2018 21:00,,,19,15
